Moses~1~39~0~For behold, this is my work and my glory—to bring to pass the immortality and eternal life of man.
Matthew~5~14~16~Ye are the light of the world. A city that is set on an hill cannot be hid. Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house. Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.
Doctrine and Covenants~6~36~0~Look unto me in every thought; doubt not, fear not.
Isaiah~1~18~0~Come now, and let us reason together, saith the Lord: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.
Jeremiah~1~4~5~Then the word of the Lord came unto me, saying,Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations.
Psalm~24~3~4~Who shall ascend into the hill of the Lord? or who shall stand in his holy place? He that hath clean hands, and a pure heart; who hath not lifted up his soul unto vanity, nor sworn deceitfully.
Philippians~4~13~0~I can do all things through Christ which strengtheneth me.
Ether~12~6~0~And now, I, Moroni, would speak somewhat concerning these things; I would show unto the world that faith is things which are hoped for and not seen; wherefore, dispute not because ye see not, for ye receive no witness until after the trial of your faith.
Revelation~20~12~0~And I saw the dead, small and great, stand before God; and the books were opened: and another book was opened, which is the book of life: and the dead were judged out of those things which were written in the books, according to their works.
